类型,平均面积,区县,fangyuan1,fangyuan2,fangyuan3,fangyuan4,价格,面积1,面积2,平均面积
三居/ 四居 ,102~165平米,[津南],联排,普通住宅,品牌地产,小户型,11000,102,165,133.5
二居/ 三居 ,86~126平米,[宁河],普通住宅,叠拼,品牌地产,低密居所,8200,86,126,106
二居/ 三居 ,44~70平米,[河北],品牌地产,地铁沿线,低总价,小户型,30000,44,70,57
二居/ 三居/ 四居 ,85~138平米,[津南],普通住宅,洋房,品牌地产,低总价,8500,85,138,111.5
三居 ,89~125平米,[滨海新区],普通住宅,叠拼,品牌地产,低密居所,13000,89,125,107
一居/ 二居 ,66~82平米,[河西],酒店式公寓,住宅型公寓,地铁沿线,低总价,27500,66,82,74
三居 ,89~117平米,[津南],普通住宅,叠拼,低密居所,小户型,9200,89,117,103
一居/ 二居/ 三居 ,89~140平米,[滨海新区],普通住宅,经济住宅,复合地产,,17700,89,140,114.5
三居/ 四居 ,96~142平米,[滨海新区],普通住宅,现房,中式地产,装修交付,19000,96,142,119
二居/ 三居 ,85~125平米,[宝坻],普通住宅,洋房,品牌地产,花园洋房,9500,85,125,105
二居/ 三居 ,83~93平米,[滨海新区],普通住宅,两限房,经济住宅,低密居所,8000,83,93,88
二居/ 三居/ 四居/ 五居 ,86~218平米,[武清],联排,普通住宅,低密居所,,11500,86,218,152
三居 ,99~143平米,[宝坻],洋房,大平层,品牌地产,低密居所,12000,99,143,121
二居/ 三居/ 四居/ 五居/ 五居以上 ,83~315平米,[滨海新区],独栋,联排,品牌地产,低密居所,9000,83,315,199
五居 ,214平米,[东丽],联排,普通住宅,品牌地产,低密居所,12500,214平米,,214
三居 ,96~125平米,[宝坻],普通住宅,洋房,品牌地产,小户型,11500,96,125,110.5
三居 ,108~143平米,[武清],普通住宅,品牌地产,低密居所,水景地产,19000,108,143,125.5
四居 ,145~155平米,[东丽],普通住宅,品牌地产,现房,改善优选,21000,145,155,150
二居/ 三居/ 四居 ,115~143平米,[西青],普通住宅,叠拼,低密居所,低总价,10216,115,143,129
二居/ 三居 ,85~118平米,[津南],普通住宅,品牌地产,宜居生态地产,,14000,85,118,101.5
三居 ,127~150平米,[静海],普通住宅,洋房,经济住宅,低密居所,16500,127,150,138.5
二居/ 三居/ 四居 ,90~160平米,[静海],联排,普通住宅,低密居所,洋房,6600,90,160,125
三居/ 四居 ,100~143平米,[西青],普通住宅,洋房,低密居所,洋房,11500,100,143,121.5
三居/ 四居/ 五居/ 五居以上 ,130~190平米,[河北],联排,普通住宅,宜居生态地产,改善优选,168,130,190,160
一居/ 二居 ,29~58平米,[河北],洋房,低密居所,低总价,花园洋房,52000,29,58,43.5
二居/ 三居/ 四居 ,80~125平米,[东丽],普通住宅,商业,品牌地产,低密居所,15000,80,125,102.5
二居/ 三居 ,77~116平米,[北辰],普通住宅,洋房,品牌地产,洋房,8100,77,116,96.5
二居/ 三居 ,78~89平米,[北辰],普通住宅,品牌地产,经济住宅,刚需必看,11000,78,89,83.5
二居/ 三居/ 四居 ,220~235平米,[武清],联排,普通住宅,品牌地产,特色别墅,16000,220,235,227.5
二居/ 三居/ 四居 ,70~118平米,[滨海新区],普通住宅,商业,品牌地产,低密居所,9500,70,118,94
二居/ 三居 ,89~130平米,[宝坻],普通住宅,品牌地产,低密居所,景观居所,11000,89,130,109.5
二居/ 三居 ,83~132平米,[东丽],英式,品牌地产,水景地产,低密居所,13500,83,132,107.5
三居/ 四居 ,115~141平米,[宁河],洋房,低密居所,花园洋房,改善优选,12000,115,141,128
三居/ 四居/ 五居 ,118~208平米,[津南],普通住宅,叠拼,品牌地产,低密居所,10500,118,208,163
二居 ,78~97平米,[东丽],普通住宅,品牌地产,刚需必看,低密居所,7000,78,97,87.5
二居/ 三居 ,132~135平米,[北辰],普通住宅,叠拼,品牌地产,低密居所,95,132,135,133.5
二居/ 三居 ,83~113平米,[东丽],普通住宅,洋房,现房,复合地产,8300,83,113,98
三居/ 四居 ,95~186平米,[蓟州],普通住宅,叠拼,品牌地产,低密居所,14500,95,186,140.5
二居/ 三居 ,91~128平米,[静海],普通住宅,低密居所,花园洋房,景观居所,13000,91,128,109.5
二居/ 三居 ,78~113平米,[宝坻],普通住宅,洋房,品牌地产,低密居所,10500,78,113,95.5
二居/ 三居 ,89~118平米,[滨海新区],普通住宅,经济住宅,宜居生态地产,,10900,89,118,103.5
二居/ 三居/ 四居 ,85~108平米,[宝坻],普通住宅,洋房,品牌地产,花园洋房,12000,85,108,96.5
二居/ 三居 ,87~129平米,[宁河],普通住宅,洋房,低密居所,现房,9900,87,129,108
三居/ 四居 ,88~117平米,[滨海新区],普通住宅,低密居所,低总价,小户型,14300,88,117,102.5
三居/ 四居 ,135~221平米,[滨海新区],普通住宅,低密居所,现房,宜居生态地产,25000,135,221,178
三居/ 四居 ,90~143平米,[宝坻],普通住宅,品牌地产,低密居所,现房,13500,90,143,116.5
三居 ,92~115平米,[蓟州],普通住宅,洋房,品牌地产,低密居所,11000,92,115,103.5
二居/ 三居/ 四居 ,91~145平米,[武清],普通住宅,洋房,品牌地产,低密居所,13600,91,145,118
二居/ 三居 ,89~130平米,[静海],普通住宅,低总价,,,13500,89,130,109.5
一居/ 二居/ 三居 ,70~130平米,[东丽],普通住宅,地铁沿线,花园洋房,,21000,70,130,100
二居/ 三居 ,75~115平米,[津南],普通住宅,地铁沿线,,,16000,75,115,95
一居/ 二居 ,55~139平米,[南开],写字楼商铺,地铁沿线,,,50000,55,139,97
二居/ 三居 ,82~96平米,[北辰],普通住宅,洋房,品牌地产,经济住宅,12100,82,96,89
二居/ 三居 ,88~110平米,[宁河],普通住宅,低密居所,花园洋房,景观居所,10000,88,110,99
五居/ 五居以上 ,355平米,[滨海新区],普通住宅,文旅地产,海景地产,改善优选,14000,355平米,,355
一居/ 二居/ 三居 ,53~104平米,[宝坻],普通住宅,品牌地产,低密居所,小户型,7500,53,104,78.5
三居/ 四居 ,90~122平米,[津南],普通住宅,洋房,经济住宅,低密居所,9000,90,122,106
二居/ 三居 ,78~90平米,[静海],普通住宅,叠拼,低密居所,低总价,6500,78,90,84
一居/ 二居/ 三居 ,48~99平米,[宝坻],独栋,联排,品牌地产,花园洋房,7800,48,99,73.5
二居/ 三居/ 四居 ,86~144平米,[宝坻],普通住宅,叠拼,低密居所,现房,8700,86,144,115
二居/ 三居 ,80~105平米,[宝坻],普通住宅,洋房,低密居所,低总价,12500,80,105,92.5
三居 ,141平米,[宝坻],联排,普通住宅,经济住宅,现房,28000,141平米,,141
二居/ 三居 ,71~170平米,[东丽],普通住宅,叠拼,品牌地产,地铁沿线,98,71,170,120.5
三居 ,90平米,[津南],联排,普通住宅,品牌地产,低密居所,8500,90平米,,90
二居/ 三居 ,75~95平米,[北辰],普通住宅,洋房,品牌地产,低密居所,11000,75,95,85
二居/ 三居 ,78~122平米,[滨海新区],普通住宅,品牌地产,低密居所,低总价,10500,78,122,100
三居 ,87~113平米,[蓟州],普通住宅,洋房,低密居所,花园洋房,12000,87,113,100
一居/ 二居/ 三居/ 四居 ,64~165平米,[武清],普通住宅,商业,品牌地产,低密居所,19500,64,165,114.5
二居/ 三居 ,85~115平米,[宝坻],普通住宅,商业,品牌地产,低密居所,13600,85,115,100
三居 ,101~126平米,[滨海新区],普通住宅,品牌地产,现房,花园洋房,13200,101,126,113.5
二居/ 三居 ,88~118平米,[宝坻],普通住宅,低总价,小户型,现房,11400,88,118,103
一居/ 二居/ 四居 ,59~222平米,[宁河],普通住宅,叠拼,文旅地产,低总价,6800,59,222,140.5
四居 ,304~337平米,[宝坻],普通住宅,低总价,特色别墅,豪华居住区,550,304,337,320.5
二居/ 三居/ 四居 ,85~165平米,[蓟州],普通住宅,品牌地产,低密居所,小户型,12320,85,165,125
二居/ 三居 ,88~140平米,[宝坻],普通住宅,低总价,低密居所,景观居所,11000,88,140,114
二居/ 三居 ,75~97平米,[北辰],普通住宅,洋房,品牌地产,低密居所,65,75,97,86
二居/ 三居 ,80~105平米,[宝坻],普通住宅,洋房,品牌地产,低密居所,6800,80,105,92.5
一居 ,380~820平米,[东丽],不限购,,,,15000,380,820,600
一居 ,81平米,[南开],地铁沿线,不限购,城市中心地产,,32000,81平米,,81
二居/ 三居 ,93~143平米,[宝坻],普通住宅,洋房,低密居所,花园洋房,14000,93,143,118
二居/ 三居 ,85~100平米,[北辰],普通住宅,商业,低密居所,花园洋房,15500,85,100,92.5
一居/ 二居/ 三居 ,58~133平米,[北辰],普通住宅,经济住宅,低总价,小户型,10500,58,133,95.5
二居/ 三居/ 四居 ,75~115平米,[宝坻],普通住宅,洋房,花园洋房,景观居所,10000,75,115,95
一居/ 二居/ 三居 ,45~90平米,[宝坻],普通住宅,品牌地产,经济住宅,低密居所,6500,45,90,67.5
